day,name,address,city,codes,map
"PM 07:30, Monday",South Valley Women's Surrender(no children over 1,"Almaden Hills United Methodist Church: 1200 Blossom Hill Rd., west of Almaden","San Jose, South","W,C,Wh","http://maps.google.com/maps?q=1200+Blossom+Hill+Rd+san+jose+ca&spn=0.021808,0.036489&hl=en"
"PM 08:00, Monday",Single Problem Study (men only),"Foxworthy Baptist Church: 1774 Foxworthy, between Meridian & Ross","San Jose, Willow Glen","M,C","http://maps.google.com/maps?q=1774+Foxworthy+san+jose+ca&spn=0.021804,0.036489&hl=en"
"PM 08:00, Monday",New Direction 12 x 12,"Holy Spirit Church: 1200 Redmond Ave. & Almaden Expressway (Rear entrance, Parish Hall)","San Jose, South",O,"http://maps.google.com/maps?f=q&hl=en&q=1200+Redmond+Ave.,+San+Jose,+CA&ie=UTF8&z=15&om=1"
"PM 01:00, Monday",Midday Women's Group,St. Mark's Church: 1957 Pruneridge & Winchester Blvd.,Santa Clara,"W,C,Wh","http://maps.google.com/maps?q=1957,+Pruneridge,+santa+clara,+ca&hl=en"
"PM 07:00, Monday",Joy of Living Group (chip),Our Savior's Lutheran Church: 1224 N. Winchester Blvd. & Tulip Ave.,Santa Clara,"O,Wh","http://maps.google.com/maps?q=1224+N+Winchester+Blvd,+Santa+Clara,+CA+95050&hl=en&ll=37.335873,-121.950088&spn=0.015014,0.042915"
"PM 12:00, Monday",Step 10 at 12 Group,"Congregational Community Church: 1112 Bernardo, at Remington",Sunnyvale,"O,Wh","http://maps.google.com/maps?q=1112+S+Bernardo+Ave,+Sunnyvale,+CA+94087&spn=0.021777,0.036489&hl=en"
"PM 12:00, Monday",Big Book at Noon,St. John's Lutheran Church: 581 E. Fremont Ave. & Manet Dr.,Sunnyvale,"O,Wh","http://www.google.com/maps?f=q&hl=en&q=581+E+Fremont+Ave,+Sunnyvale,+CA+94087&ie=UTF8&z=15&ll=37.353648,-122.026391&spn=0.015044,0.042915&om=1&iwloc=A"
"PM 08:00, Monday",Men's Group,"St. Thomas Church: 231 South Sunset, at McKinley, between Washington and Iowa",Sunnyvale,"M,C","http://maps.google.com/maps?q=231+Sunset+Ave,+Sunnyvale,+CA+94086&spn=0.021771,0.036489&hl=en"
"PM 05:00, Wednesday",University Beginners,"University of Santa Clara:  500 El Camino Real, Bannon Hall, 305",Santa Clara,O,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=500+El+Camino+Real,+Santa+Clara,+CA+95050&sll=37.0625,-95.677068&sspn=47.167389,81.738281&ie=UTF8&z=16&iwloc=addr&om=0"
"PM 12:00, Tuesday",Living in Sobriety (chip),"Saturday Nite Live Group: 1388 S. Bascom Ave., at Stokes St.","San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?q=1388+S.+Bascom+Ave,+san+jose+ca&hl=en"
"PM 06:00, Tuesday",How Do You Feel Today,"Saturday Nite Live Group: 1388 S. Bascom Ave., at Stokes St.","San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?q=1388+S.+Bascom+Ave,+san+jose+ca&hl=en"
"PM 08:00, Tuesday",Open Podium,"Saturday Nite Live Group: 1388 S. Bascom Ave., at Stokes St.","San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?q=1388+S.+Bascom+Ave,+san+jose+ca&hl=en"
"PM 08:00, Tuesday",Winchester Mystery Meeting (chips last Tuesday),"First United Methodist Church: 1675 S. Winchester, at Hamilton",Campbell,"O,Wh","http://maps.google.com/maps?q=1675+S+Winchester+Blvd,+Campbell,+CA+95008&spn=0.021796,0.036489&hl=en"
"PM 07:00, Tuesday",Women's Topic Discussion Group (no infants/childre,"Good Shepherd Christian Church: 940 S. Stelling Rd., at Jollyman",Cupertino,"W,C",http://maps.google.com/maps?q=940+S.+Stelling+Rd+cupertino+ca&hl=en
"PM 08:00, Tuesday",Step Study,7511 Gourmet Alley,Gilroy,"C,Wh","http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=7511+Gourmet+Alley,+Gilroy,+CA&sll=37.277003,-121.952999&sspn=0.092611,0.153809&g=95008&ie=UTF8&z=16"
"AM 07:00, Tuesday",Big Book Men's Group,"Whole Foods, 4800 El Camino Real, at Showers Dr.",Los Altos,"M,C","http://maps.google.com/maps?f=q&hl=en&geocode=&q=4800+El+Camino+Real,+Los+Altos,+CA&sll=37.0625,-95.677068&sspn=46.764446,78.75&ie=UTF8&z=16&g=4800+El+Camino+Real,+Los+Altos,+CA&iwloc=addr"
"PM 07:45, Monday",Waves of Healing,"Kaiser Permanente San Jose Medical Center:  5755 Cottle Rd., Bldg.3, Rm 2","San Jose, South","O,Wh",http://goo.gl/maps/BVLkb
"PM 12:00, Tuesday",Happy Destiny (women),Holy Cross Lutheran Church: 15855 Los Gatos-Almaden Rd. & Camino del Cerro,Los Gatos,"W,C",http://www.mapquest.com/cgi-bin/ia_free?width=400&height=400&streetaddress=15855+Los+Gatos+Almaden+Rd&city=Los+Gatos&state=CA
"PM 08:00, Tuesday",Los Gatos Tuesday Night,Faith Lutheran Church: 16548 Ferris & Spencer,Los Gatos,"O,Wh","http://maps.google.com/maps?f=q&hl=en&q=16548+Ferris,+Los+Gatos,+CA&ll=37.228996,-121.965322&spn=0.015035,0.042915"
"PM 01:30, Sunday",Basic Instincts for Men,"Serenity First Fellowship: 304 N. 6th St, at Julian (upstairs)","San Jose, Downtown","C,M","http://maps.google.com/maps?q=304+N+6th+St,+San+Jose,+CA+95112&hl=en"
"PM 08:00, Tuesday",St. Luke's Group,"St. Luke's Episcopal Church: 20 University Ave., near Main St.",Los Gatos,O,"http://maps.google.com/maps?f=q&hl=en&q=20+University+Ave.,+Los+Gatos,+cA&ll=37.223357,-121.98236&spn=0.015036,0.042915"
"AM 12:00, Sunday",Step by Step to Acceptance,"Saturday Nite Live Group: 1388 S. Bascom Ave., at Stokes St.","San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?q=1388+S.+Bascom+Ave,+san+jose+ca&hl=en"
"AM 06:00, Wednesday",One Day at a Time,Trinity Presbyterian Church:  3151 Union Ave.,"San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=3151+Union+Ave.,+San+Jose,+CA&aq=&sll=37.0625,-95.677068&sspn=24.455808,74.707031&ie=UTF8&hq=&hnear=3151+Union+Ave,+San+Jose,+California+95124&z=15"
"PM 08:00, Tuesday",The Bedrock Group,"South County Fellowship: 18675 Adams Ct., Suite N",Morgan Hill,"O,Wh","http://maps.google.com/maps?q=18675+Adams+Ct+morgan+hill,+ca&hl=en"
"PM 07:00, Tuesday",Early Tuesday Group,"St. Timothy's Episcopal Church: 2094 Grant Road, at Garden Terrace",Mountain View,"O,Wh","http://maps.google.com/maps?q=2094+Grant+Road+mountain+view,+ca&spn=0.021773,0.036489&hl=en"
"PM 12:00, Tuesday",Big Book Study,"Moffett Central Shopping Center: 327 B Moffett Blvd., between Central Expwy & Middlefield",Mountain View,"O,Wh","http://maps.google.com/maps?q=327+Moffett+Blvd,+Mountain+View,+CA+94043&spn=0.028437,0.039710&hl=en"
